SAMPLE_ID,MTERFD2,KCNK5,AP3M2,PODXL2,ZNF683,SNRPD3,HAPLN3,NMI,ST7L,HIST1H2BC,C10orf35,BBS2,FAM98A,UFD1L,USF1,PLEKHG3,APOL3,ORC6L,MTAP,DBF4,HIST1H2BN,RNF148,KIF24,CLASS
TCGA-E7-A5KE-01,0.1269016,0.223754988,0.160574329,0.161614915,0.000314581,0.144987842,0,0.108654359,0.25564885,0.088107245,0.165567911,0.314259235,0.125060122,0.548950393,0.092994121,0.25508386,0.002686559,0.302330085,0.06354888,0.336530807,0.044766745,0.084743976,0.196018376,1
TCGA-E7-A5KF-01,0.37171472,0.077469402,0.235421465,0.114932627,0.000438564,0.135314185,0.012808564,0.275099219,0.208236882,0.017496567,0.229126399,0.70683784,0.083824893,0.075888426,0.109189805,0.350266938,0.045975558,0.115823388,0.066124617,0.115254337,0.010401791,0,0.045381814,1
TCGA-E7-A677-01,0.291264828,0.193370252,0.437052693,0.012812355,0.001934228,0.080951138,0.04549182,0.22705495,0.448162689,0.001540936,0.207241874,0.639949377,0.146926316,0.167600363,0.025157971,0.474489674,0.097899703,0.11779308,0.061722282,0.10672046,0.00144876,0.022854245,0.112056312,1
TCGA-E7-A678-01,0.342952934,0.00256002,0.309077427,0.130628619,0.007051763,0.144537785,0.006107984,0.184173243,0.300473324,0.004846848,0.172030206,0.700581446,0.128963488,0.108174094,0.089167162,0.314189627,0.105471557,0.030564164,0.055025539,0.098452173,0.024223102,0,0.007137976,1
TCGA-E7-A6MD-01,0.189132029,0.012594902,0.114640107,0.226841687,0.013674467,0.164224571,0.108792961,0.300265635,0.105512886,0.050135105,0.548364428,0.532607411,0.16114572,0.147648273,0.024417568,0.092618568,0.090208894,0.134454821,0.051217304,0.120633733,0.063978335,0.008410295,0.086132059,2
TCGA-E7-A6ME-01,0.335052659,0.085401018,0.243690636,0.152288437,0.015177327,0.059783021,0.048455691,0.32659597,0.180831993,0.02158951,0.437629273,0.118586913,0.177288173,0.024524694,0.122453929,0.038281552,0.079645201,0.185135038,0.097241225,0.191932798,0.044777885,0.033241169,0.309807963,1
TCGA-E7-A6MF-01,0.751765475,0.023041623,0.43026242,0.024306117,0.003340354,0.040935913,0.011873683,0.129755855,0.382354818,0.018773838,0.188186506,0.859716723,0.042586483,0.022943034,0.024469737,0.430996865,0.060478806,0.003790345,0.074351515,0.057536955,0.061117949,0.014283275,0.008159394,1
TCGA-E7-A7DU-01,0.101493307,0.062117897,0.189512728,0.179952216,0.00098702,0.27163264,0.014665458,0.221302042,0.295285076,0.007553947,0.236604665,0.589527051,0.050303555,0.203916832,0.081209745,0.152678854,0.069718725,0.145524217,0.000897256,0.109997399,0,0,0.034148468,1
TCGA-E7-A7DV-01,0.167356957,0.603486466,0.239735262,0.024564824,0.014316228,0.151896862,0.268878538,0.533827075,0.412020657,0.146060358,0.258572632,0.247211914,0.249278893,0.163539649,0.142903886,0.070018068,0.240673392,0.198992186,0.103453221,0.19429846,0.203733568,0.013118387,0.075005172,2
TCGA-E7-A7PW-01,0.087949979,0.033125021,0.210045082,0.330950479,0.008747829,0.177136068,0.019352787,0.251129042,0.085753286,0.031556143,0.668251212,0.33918167,0.124780732,0.127026875,0.1963809,0.076743541,0.045989752,0.387923269,0.096258875,0.419497556,0.108426787,0.038009513,0.180595976,1
TCGA-E7-A7XN-01,0.238703585,0.080616815,0.090625478,0.073126835,0.220151941,0.173274577,0.287551567,1,0.169262034,0.162465891,0.184317699,0.259686307,0.222048463,0.135415652,0.068251386,0.462384428,1,0.166804791,0.17582488,0.229276065,0.033997326,0.033003505,0.18966394,2
TCGA-E7-A85H-01,0.217473416,0.02982641,0.360020913,0.347482795,0.008508734,0.351798107,0.081461286,0.345029249,0.079393787,0.331317426,0.211762436,0.383705969,0.277831075,0.305053289,0.167955406,0.045278994,0.118548027,0.767043939,0.051593307,0.299192311,0.179542826,0.03293321,0.322630391,2
